6	1	1	0	0	0	0	0	
6	1	2	120	0.5458	66	27.16	0	
6	1	3	720	0.7483	105	131.09	0	
6	1	4	1320	-0.1009	105	1.06	0.3056	
6	1	5	1920	-0.0881	91	0.7	0.4064	
6	1	6	2520	-0.1864	91	3.2	0.0768	
6	1	7	3120	-0.2502	105	6.88	0.01	
9	2	1	0	0	0	0	0	
9	2	2	121	0.332	66	7.93	0.0065	
9	2	4	721	0.4	91	16.96	0.0001	
9	2	3	1321	0.3513	78	10.7	0.0016	
9	2	5	1921	0.5928	55	28.72	0	
9	2	6	2521	0.1587	78	1.96	0.1651	
9	2	7	3121	0.1035	105	1.12	0.2932	
12	2	1	0	0	0	0	0	
12	2	2	124	0.8298	21	42.01	0	
12	2	3	724	0.7188	66	68.42	0	
12	2	4	1324	0.4573	36	8.99	0.005	
12	2	5	1924	0.4877	36	10.61	0.0026	
12	2	6	2524	0.4636	28	7.12	0.013	
12	2	7	3124	0.4184	28	5.52	0.0267	
13	2	1	0	0	0	0	0	
13	2	2	120	0.5542	120	52.3	0	
13	2	3	720	0.6997	210	199.46	0	
13	2	4	1320	-0.0065	190	0.01	0.9295	
13	2	5	1920	0.0823	171	1.15	0.2848	
13	2	6	2520	0.1488	210	4.71	0.0311	
13	2	7	3120	0.1918	253	9.59	0.0022	
15	1	1	0	0	0	0	0	
15	1	2	121	0.7066	630	626.08	0	
15	1	3	721	0.8004	595	1057.05	0	
15	1	4	1321	0.0541	378	1.1	0.294	
15	1	5	1921	0.0952	378	3.44	0.0644	
15	1	6	2521	0.1915	435	16.49	0.0001	
15	1	7	3121	0.0975	435	4.15	0.0422	
16	1	1	0	0	0	0	0	
16	1	2	123	0.6431	351	246.11	0	
16	1	3	723	0.7724	406	597.67	0	
16	1	4	1323	0.0414	378	0.65	0.4219	
16	1	5	1923	0.01	406	0.04	0.8414	
16	1	6	2523	0.0983	406	3.94	0.0477	
16	1	7	3123	0.1007	351	3.57	0.0595	
17	2	1	0	0	0	0	0	
17	2	3	720	0.5834	1378	709.92	0	
17	2	4	1320	0.03	1275	1.15	0.2839	
17	2	5	1920	0.0799	1081	6.94	0.0085	
17	2	6	2520	0.0387	1081	1.62	0.2035	
17	2	7	3120	0.0497	903	2.23	0.1354	
18	2	1	0	0	0	0	0	
18	2	2	120	0.5917	253	135.2	0	
18	2	3	720	0.6432	231	161.62	0	
18	2	4	1320	0.1822	231	7.86	0.0055	
18	2	5	1920	0.1843	300	10.48	0.0013	
18	2	6	2520	0.1838	300	10.42	0.0014	
18	2	7	3120	0.302	276	27.51	0	
19	1	1	0	0	0	0	0	
19	1	2	123	0.6606	465	358.47	0	
19	1	3	723	0.72	703	754.4	0	
19	1	4	1323	-0.0013	561	0	0.9765	
19	1	5	1923	-0.0139	465	0.09	0.7643	
19	1	6	2523	0.0314	465	0.46	0.4994	
19	1	7	3123	0.0368	406	0.55	0.4596	
20	1	1	0	0	0	0	0	
20	1	2	122	0.5276	210	80.24	0	
20	1	3	722	0.7539	253	330.58	0	
20	1	4	1322	0.025	136	0.08	0.7724	
20	1	5	1922	-0.0242	136	0.08	0.7802	
20	1	6	2522	-0.0712	190	0.96	0.3289	
20	1	7	3122	-0.0534	210	0.59	0.4414	
21	2	1	0	0	0	0	0	
21	2	2	120	-0.3811	15	2.21	0.1611	
21	2	3	720	0.5727	55	25.86	0	
21	2	4	1320	0.0668	28	0.12	0.7355	
21	2	5	1920	0.0899	21	0.15	0.6985	
21	2	6	2520	-0.1058	15	0.15	0.7076	
21	2	7	3120	-0.0271	21	0.01	0.9072	
22	2	2	120	0	0	0	0	
22	2	3	720	0.7723	3081	4549.61	0	
22	2	4	1320	0.1253	2485	39.64	0	
22	2	5	1920	0.1806	2775	93.54	0	
22	2	6	2520	0.122	2926	44.19	0	
22	2	7	3120	0.0945	2926	26.36	0	
23	1	1	0	0	0	0	0	
23	1	2	125	0.4815	861	259.2	0	
23	1	3	725	0.6679	946	760.2	0	
23	1	4	1325	0.0254	780	0.5	0.4779	
23	1	5	1925	0.058	820	2.76	0.0969	
23	1	6	2525	0.0301	861	0.78	0.3781	
23	1	7	3125	0.0164	666	0.18	0.6734	
24	1	1	0	0	0	0	0	
24	1	2	148	0.6657	496	393.18	0	
24	1	3	748	0.8841	946	3380.07	0	
24	1	4	1348	0.0783	780	4.8	0.0287	
24	1	5	1948	0.0433	903	1.69	0.1939	
24	1	6	2548	-0.004	820	0.01	0.9088	
24	1	7	3148	-0.0132	820	0.14	0.7062	
25	1	1	0	0	0	0	0	
25	1	2	120	0.731	378	431.46	0	
25	1	3	720	0.8364	435	1008.44	0	
25	1	4	1320	0.0983	435	4.22	0.0405	
25	1	5	1920	0.0534	435	1.24	0.2669	
25	1	6	2520	0.0893	435	3.48	0.0629	
25	1	7	3120	0.0702	406	2	0.158	
26	1	1	0	0	0	0	0	
26	1	2	120	0.6585	903	689.92	0	
26	1	3	720	0.8288	1540	3374.9	0	
26	1	4	1320	0.0738	1378	7.54	0.0061	
